course_name,course_attribute,elective_field,instructor,content,attendance,assessment,grade
应用伦理学前沿,专业课程,,李建华，姜子豪,避雷！避雷！给分极其没有标准，全看论文，没有专业基础的不要选！！,没有考勤，没有平时作业，但是有课上自主回答问题,论文结课,Unknown
应用伦理学前沿,专业课程,,李建华，姜子豪,跨专避雷！！,无,论文结课,Unknown
应用伦理学前沿,专业课程,,李建华,"会讲几个应用伦理的话题，后面会请外面的人来讲，不过后半程比较无聊；
给分算不错吧，但被卡绩了，不嘻嘻",无考勤，无平时作业,论文结课，只要主题是应用伦理相关即可,89
习概,公共课,,余杰,老师人很好，闭眼冲,有签到和小组展示，最后老师给加分了，大家小组展示基本都在95分以上,闭卷,93
化学与社会,通识选修课（公选课）,科学精神与生命关怀,程功臻,好像出过高考化学湖北卷,写200字到500字作业（交纸质）,开卷考试,91
应用伦理学前沿,专业课程,,李建华,"几个应用伦理的主题；
听说给分不好，还是慎选吧",均无,论文,89
英语小说阅读与创意写作,公共课,,程向莉，陆朋，钱妍，Seth,讲几篇有特色的英文小说，包括乔伊斯的都柏林人中的一篇,程老师会用雨课堂，小学期不留课下作业，但课下可以再对自己的写作段落进行改正,一篇小说,96
1,体育课,,1,1,1,1,1
黄河史,通识选修课（公选课）,中华文化与世界文明,梁利,给分还不戳,每节课要纸质签到，有小作业（两次）,论文结课（不查重）,Unknown
经济法,专业课程,,万,蛮好,小组作业,开卷,Unknown
水科学,通识选修课（公选课）,中华文化与世界文明,肖益民,有关于水、河流、海洋的内容。老师人很好很和蔼，上课做其他的也不会说，经常自问自答哈哈哈哈哈,每节课都要签到，每节课都有作业，做过一次pre,一篇2000字论文,94
财务管理,专业课程,,苏灵,财管相对有难度的，但是老师很厉害，教的很好！！！已经是融会贯通了,没有考勤，最后让交课后题，任选30道,闭卷考试,90
人文科学精神导引,通识必修课（导引）,,文建东,很负责，小班要求高，上他的需要极高的抗压能力，因为他可能会在你pre的时候直接打断你并连续追问,小班展示,当堂论文,Unknown
 ,体育课,, , , , ,0
经济法,专业课程,,万x,案例分析,案例,开卷,Unknown
高等数学,公共课,,杨丽华,杨老师讲的还是很好的，就是有一些口音,很少考勤，平时作业一周一次，,闭卷考核,Unknown
1,体育课,,1,1,1,1,1
高等数学,公共课,,杨丽华,杨老师讲的还是很好的，就是有点口音,很少考勤，平时作业一周一次。,闭卷考核,Unknown
军事理论与技能,公共课,,陈盼盼,军事理论相关内容,可能会有1-2次考勤，会有一次小组报告，需要准备一个辩论（不过不是正式辩论，搜集一点资料即可）,军训分数占50％期末占35％平时成绩15％,93
概率论及数理统计,公共课,,冯艳钦,挺好的,一周一次作业，无考勤,闭卷,95
生产实践,专业课程,,苏畅,挺好的,每天准时大巴集合,论文,96
现代住区与城市社会,通识选修课（公选课）,社会科学与现代科学,杨丽,与城市设计相关度较大的知识,有考勤，没有作业,做一张城市设计介绍的海报,Unknown
汽车文化与人类文明,通识选修课（公选课）,科学精神与生命关怀,申圣男,讲汽车历史,没有点过名，会有一次作业，给题目写1000字小论文,开卷，会在群里发文件，卷子考的文件里都有，抄就好了,92
1,体育课,,1,1,1,1,1
阿萨德1,体育课,,阿斯顿撒,阿达阿达是的,阿达阿达是的啊,啊实打实大大是的,Unknown
音乐欣赏,通识选修课（公选课）,艺术体验与审美欣赏,王渊,无,无,开卷,100
高等数学A,公共课,,湛少锋,湛少是神！！！上课讲得好，给分也好，课后给vx加。,作业量正常，基本不签到，偶尔写题签到，一个一个收，但不特别严格（可以从后门溜进来）,考试,93
健身气功,体育课,,陈文英,蛮好,没啥作业,考学的东西,90
管理学,专业课程,,王老师,授课认真，准备充分，知识体系健全，能与社会相结合。,完成质量较好,闭卷考试,89
1,体育课,,1,1,1,1,1
智慧城市的建设与发展,通识选修课（公选课）,社会科学与现代科学,陈悦华,课程的总体内容还是非常生动有趣的，老师尽力地将课堂在讲述知识的同时添加趣味性，让同学们可以较多地参与到课堂中,"签到考勤，每天都有考勤
作业有一次小作业和一次大作业，较为正常",提交大作业，大作业字数不少于五千字,Unknown
工程制图,通识选修课（公选课）,中华文化与世界文明,刘丽萍,1,1,1,1
简牍与秦汉文化,通识选修课（公选课）,中华文化与世界文明,黄浩波,讲秦汉简牍，认字啥的，挺有趣的，没有专业门槛,偶尔签到，无平时作业,五分钟pre，一篇一千五论文，根据pre的内容来，介绍家乡民俗文化，不查重,92
东方电影与东方文化,通识选修课（公选课）,艺术体验与审美欣赏,黄献文,特别好的老师！,无,影评,Unknown
数据结构,专业课程,,王先兵,gg,gg,笔试加机考,Unknown
黄河史,通识选修课（公选课）,中华文化与世界文明,梁利,好好好,有签到喔，有小作业,论文结课,Unknown
法语语法,专业课程,,周婷,法语专业的专业课,内容多，老师很好，上课氛围好,闭卷考试,Unknown
人文社科经典导引,通识必修课（导引）,,王怀义,不错,没有,考试,Unknown
刑法,专业课程,,熊琦,老师讲的有点难懂，但是人很好，我实在没学明白感觉还是捞了的,无考勤无作业,法学院正常考试,85
古文字学,专业课程,,肖圣中,讲解文字学基本知识，也有配套的慕课,抄字，无论文,考试,90
智能科学导引,通识选修课（公选课）,科学精神与生命关怀,刘华俊,主要是人工智能的一些算法，启发式算法、聚类和分类,无考勤无平时作业,结课论文,95
素质体育1,体育课,,郑策,神中神,一定不要翘课，不翘课百分百满绩,正常素质体育考核，考成啥样都是满绩,97
习近平新时代中国特色社会主义思想概论,公共课,,付玉璋,给分真的不行，20%满绩率，最终成绩是卷面成绩+2左右，会避免卡绩,有不少考勤，有一次小组作业,闭卷考试,87
音乐欣赏,通识选修课（公选课）,艺术体验与审美欣赏,王渊,听歌，了解一些音乐知识,无,考试，海底捞，不犯病必有90,100
中国书法基础,通识必修课（导引）,,肖圣中,很好 很少点名 给分高,平时作业三次 几乎没有点名,临摹一副字,90
黄河史,通识选修课（公选课）,中华文化与世界文明,梁利,跟黄河有关的历史地理方面,纸质签名，有两次小作业,论文结课,Unknown
大学物理B,公共课,,宫俊波,非常好的老师 冲,正常扫码签到,考试,90
高等数学,公共课,,雷玲,老师很漂亮！讲课很认真细致，不查考勤，允许学生去听别的老师的课，也允许自学。入股不亏！,无考勤，有作业,闭卷考,89
